District,Year,Month,Rainfall,Temperature,Soil_Moisture,NDVI
Jayashankar Bhupalapally,2014,9,198.1042015309216,27.17974998519337,0.4336756533311573,0.7121576147691917
Jayashankar Bhupalapally,2014,10,5.363822188890346,26.79492666616081,0.3527725404627717,0.7236467695826185
Jayashankar Bhupalapally,2014,11,20.26811739040969,24.819881695637417,0.337124727980464,0.6593727415616166
Jayashankar Bhupalapally,2014,12,1.5050709768534596,22.421766434622164,0.2250115030050726,0.581741591782301
Jayashankar Bhupalapally,2015,1,5.474071186958053,22.481508960120355,0.223255406844736,0.5315738523809522
Jayashankar Bhupalapally,2015,2,5.399927994716109,26.05107323131141,0.1982768819532156,0.4486126968503937
Jayashankar Bhupalapally,2015,3,9.79360685874036,29.29387126149773,0.2177271237735517,0.4136432936507936
Jayashankar Bhupalapally,2015,4,39.81390830431137,30.89617633019777,0.2514341233578097,0.3950440603174601
Jayashankar Bhupalapally,2015,5,0.1309116406951029,35.175898489677806,0.2085412285403193,0.3748619857142858
Jayashankar Bhupalapally,2015,6,296.84280613510896,29.29919664752564,0.3820768313345666,0.497396492063492
Jayashankar Bhupalapally,2015,7,185.9666705508736,28.97656661852661,0.3643637941076928,0.5528484269841274
Jayashankar Bhupalapally,2015,8,183.15424761551708,27.44127050430188,0.4062606778689306,0.6602887650793654
Jayashankar Bhupalapally,2015,9,210.4417929583253,27.67921803078089,0.4214302249672968,0.7264957507936506
Jayashankar Bhupalapally,2015,10,20.849176138812435,27.90216804417671,0.3133698594672299,0.7064351269841267
Jayashankar Bhupalapally,2015,11,13.569125314682278,26.39327553168134,0.2193907077809489,0.6387067333333335
Jayashankar Bhupalapally,2015,12,0.885114965267766,25.49112449562139,0.200394488575394,0.5414907139909202
Jayashankar Bhupalapally,2016,1,2.975271119735915,24.1318678110972,0.2070219672431433,0.4863183249730143
Jayashankar Bhupalapally,2016,2,12.18435151059844,28.0740600143263,0.1983236149901173,0.4267562285714282
Jayashankar Bhupalapally,2016,3,23.092458095342977,30.72068337389741,0.2114086638341728,0.4133673222222224
Jayashankar Bhupalapally,2016,4,17.140598331645972,34.60737387137169,0.1981394854873575,0.3431812079365078
Jayashankar Bhupalapally,2016,5,39.21318793671118,34.461956286168494,0.2292604010107167,0.3109266444444445
